"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"85",8,"Michael Wilson",ARI,"WR39","14","-","-","2 out of 5 stars","0"
"86",8,"RJ Harvey",DEN,"RB30","10","2 out of 5","4 out of 5","2 out of 5 stars","-3"
"87",8,"Rico Dowdle",PIT,"RB31","9","4 out of 5","4 out of 5","2 out of 5 stars","-8"
"88",8,"Quentin Johnston",LAC,"WR40","7","4 out of 5","4 out of 5","2 out of 5 stars","+19"
"89",8,"Sam LaPorta",DET,"TE8","6","4 out of 5","4 out of 5","3 out of 5 stars","-19"
"90",8,"George Kittle",SF,"TE9","8","4 out of 5","4 out of 5","3 out of 5 stars","0"
"91",8,"Josh Downs",IND,"WR41","13","3 out of 5","4 out of 5","4 out of 5 stars","+21"
"92",8,"Patrick Mahomes II",KC,"QB11","5","2 out of 5","4 out of 5","2 out of 5 stars","+9"
"93",8,"Jaxson Dart",NYG,"QB12","8","4 out of 5","4 out of 5","4 out of 5 stars","-2"
"94",8,"Jakobi Meyers",JAC,"WR42","7","3 out of 5","3 out of 5","4 out of 5 stars","+20"
"95",8,"Brock Purdy",SF,"QB13","8","4 out of 5","2 out of 5","1 out of 5 stars","+15"
"96",8,"Stefon Diggs",WAS,"WR43","7","4 out of 5","2 out of 5","2 out of 5 stars","+7"
"97",8,"Travis Kelce",KC,"TE10","5","3 out of 5","3 out of 5","4 out of 5 stars","-3"
"98",8,"Jordan Addison",MIN,"WR44","6","4 out of 5","4 out of 5","5 out of 5 stars","+7"
"99",8,"Bo Nix",DEN,"QB14","10","4 out of 5","2 out of 5","3 out of 5 stars","+9"
"100",8,"Kyle Monangai",CHI,"RB32","10","4 out of 5","4 out of 5","2 out of 5 stars","0"
"101",8,"Dalton Kincaid",BUF,"TE11","7","3 out of 5","4 out of 5","3 out of 5 stars","+20"
"102",8,"Chuba Hubbard",CAR,"RB33","5","2 out of 5","4 out of 5","1 out of 5 stars","-14"
"103",8,"Jonathon Brooks",CAR,"RB34","5","4 out of 5","3 out of 5","1 out of 5 stars","-21"
"104",8,"Alec Pierce",IND,"WR45","13","4 out of 5","4 out of 5","4 out of 5 stars","-12"
"105",8,"J.K. Dobbins",DEN,"RB35","10","4 out of 5","4 out of 5","2 out of 5 stars","-18"
"106",8,"Jayden Reed",GB,"WR46","11","4 out of 5","4 out of 5","5 out of 5 stars","+13"
"107",8,"Jared Goff",DET,"QB15","6","3 out of 5","2 out of 5","5 out of 5 stars","+16"
"108",8,"Kenny Gainwell",TB,"RB36","10","4 out of 5","3 out of 5","2 out of 5 stars","-9"
"109",9,"Matthew Stafford",LAR,"QB16","11","4 out of 5","2 out of 5","3 out of 5 stars","-20"
"110",9,"Rachaad White",WAS,"RB37","7","4 out of 5","3 out of 5","4 out of 5 stars","+8"
"111",9,"Blake Corum",LAR,"RB38","11","4 out of 5","4 out of 5","5 out of 5 stars","-9"
"112",9,"Jake Ferguson",DAL,"TE12","14","2 out of 5","4 out of 5","2 out of 5 stars","-1"
"113",9,"Aaron Jones Sr.",MIN,"RB39","6","1 out of 5","4 out of 5","4 out of 5 stars","+7"
"114",9,"Jordan Love",GB,"QB17","11","4 out of 5","3 out of 5","4 out of 5 stars","+32"
"115",9,"Khalil Shakir",BUF,"WR47","7","2 out of 5","4 out of 5","4 out of 5 stars","+25"
"116",9,"Kyler Murray",MIN,"QB18","6","4 out of 5","3 out of 5","5 out of 5 stars","+22"
"117",9,"Makai Lemon",PHI,"WR48","10","4 out of 5","3 out of 5","4 out of 5 stars","0"
"118",9,"Tyler Shough",NO,"QB19","8","4 out of 5","2 out of 5","3 out of 5 stars","+31"
"119",9,"Baker Mayfield",TB,"QB20","10","3 out of 5","4 out of 5","2 out of 5 stars","+16"
"120",9,"Dallas Goedert",PHI,"TE13","10","4 out of 5","3 out of 5","4 out of 5 stars","-7"
"121",9,"Jacory Croskey-Merritt",WAS,"RB40","7","4 out of 5","4 out of 5","4 out of 5 stars","-12"
"122",9,"Jordan Mason",MIN,"RB41","6","4 out of 5","3 out of 5","4 out of 5 stars","-18"
"123",9,"Isaiah Likely",NYG,"TE14","8","4 out of 5","4 out of 5","3 out of 5 stars","-17"
"124",9,"Xavier Worthy",KC,"WR49","5","4 out of 5","4 out of 5","2 out of 5 stars","+6"
"125",9,"Jordyn Tyson",NO,"WR50","8","3 out of 5","4 out of 5","3 out of 5 stars","+3"
"126",9,"Jalen Coker",CAR,"WR51","5","4 out of 5","3 out of 5","2 out of 5 stars","+19"
"127",9,"Deebo Samuel Sr.",SF,"WR52","8","4 out of 5","3 out of 5","2 out of 5 stars","+2"
"128",9,"Malik Willis",MIA,"QB21","6","4 out of 5","4 out of 5","3 out of 5 stars","+39"
"129",9,"Woody Marks",HOU,"RB42","8","3 out of 5","4 out of 5","4 out of 5 stars","+7"
"130",9,"Tyler Allgeier",ARI,"RB43","14","3 out of 5","4 out of 5","2 out of 5 stars","+14"
"131",9,"Mark Andrews",BAL,"TE15","13","4 out of 5","4 out of 5","4 out of 5 stars","-7"
"132",9,"Juwan Johnson",NO,"TE16","8","4 out of 5","2 out of 5","2 out of 5 stars","+21"
"133",9,"Zach Charbonnet",SEA,"RB44","11","3 out of 5","4 out of 5","4 out of 5 stars","+4"
"134",9,"Tyjae Spears",TEN,"RB45","9","3 out of 5","4 out of 5","3 out of 5 stars","+9"
"135",9,"KC Concepcion",CLE,"WR53","11","4 out of 5","3 out of 5","3 out of 5 stars","-8"
"136",9,"C.J. Stroud",HOU,"QB22","8","3 out of 5","4 out of 5","4 out of 5 stars","+44"
"137",10,"Sam Darnold",SEA,"QB23","11","2 out of 5","4 out of 5","4 out of 5 stars","+48"
"138",10,"Dylan Sampson",CLE,"RB46","11","4 out of 5","2 out of 5","3 out of 5 stars","+58"
"139",10,"Romeo Doubs",NE,"WR54","11","4 out of 5","3 out of 5","2 out of 5 stars","-6"
